Número de extracción;Fecha;Numero de compresor en servicio;Presión de succión (kg/cm2);Temperatura de succión (°C);Presión de descarga (kg/cm2);Temperatura de descarga (°C);Presión de aceite (kg/cm2);Presión en tanque recibidor (MPa);Presión de acumulador (MPa);Presión en camisa de votator A (kg/cm2);Presión en camisa de votator B (kg/cm2);Presión en camisa de votator C (MPa);Posición bomba triplex 1 (osc/min);Posición bomba triplex 2 (osc/min);Posición bomba triplex 3 (osc/min)
104;4/21/2020 3:40:00 PM;2;2;8;10;Sin medicion;5;1,1;0,2;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
104;4/21/2020 3:40:00 PM;4;2,4;Sin medicion;10;Sin medicion;5;0,95;0,21;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
104;4/21/2020 6:30:00 PM;2;2;7;11,2;Sin medicion;5,3;10,8;2,2;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
104;4/21/2020 6:30:00 PM;4;2,4;Sin medicion;10,3;Sin medicion;5,4;0,98;2,2;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
105;4/22/2020 8:00:00 PM;1;2;8;80;Sin medicion;5;1,05;0,2;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
105;4/22/2020 8:00:00 PM;4;2,3;Sin medicion;10;Sin medicion;5;0,96;0,2;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
106;4/23/2020 6:30:00 AM;2;2;6;10,7;Sin medicion;5,2;10,2;2;2,8;2,7;Sin medicion;Sin medicion;Sin medicion;Sin medicion
106;4/23/2020 6:30:00 AM;4;2,2;Sin medicion;9,8;Sin medicion;5,1;0,93;2,1;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
106;4/23/2020 2:30:00 PM;1;2;8;10;80;4,5;1,08;0,22;2,9;2,9;Sin medicion;Sin medicion;Sin medicion;Sin medicion
106;4/23/2020 2:30:00 PM;4;2,3;Sin medicion;10,5;Sin medicion;5,3;1;0,2;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
106;4/23/2020 6:00:00 PM;1;2;8;10;80;5;1,05;0,21;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
106;4/23/2020 6:00:00 PM;4;2;Sin medicion;10;Sin medicion;5;0,95;0,2;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
108;4/26/2020 6:30:00 AM;1;2;4;10;74;5;10,4;2,2;2,8;2,7;Sin medicion;Sin medicion;Sin medicion;Sin medicion
108;4/26/2020 6:30:00 AM;4;2,2;Sin medicion;10;Sin medicion;5,3;0,94;2,2;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
109;4/26/2020 12:00:00 PM;1;2;6;10,2;76;5,1;10,6;2,2;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
109;4/26/2020 12:00:00 PM;4;2,2;Sin medicion;10,3;Sin medicion;5,3;0,98;2,2;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
109;4/26/2020 3:00:00 PM;1;2,1;8;10,4;78;5,2;10,8;2,2;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
109;4/26/2020 3:00:00 PM;4;2,2;Sin medicion;10,5;Sin medicion;5,3;1;2,2;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
110;4/27/2020 12:00:00 PM;1;2;7;10,2;77;5,1;10,6;2,2;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
110;4/27/2020 12:00:00 PM;4;2,2;Sin medicion;10,2;Sin medicion;5,3;0,97;2,1;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
110;4/27/2020 10:52:26 PM;1;2;7;10,2;78;4,6;1,5;0,23;2,9;2,9;Sin medicion;30;30;Sin medicion
110;4/27/2020 10:52:26 PM;4;2,3;Sin medicion;10,5;Sin medicion;5;1,1;0,25;Sin medicion;Sin medicion;0,31;Sin medicion;Sin medicion;31
110;4/28/2020 7:32:00 AM;1;2;6;10;80;5;1,1;0,2;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
110;4/28/2020 7:32:00 AM;4;2,1;Sin medicion;10;Sin medicion;5;0,95;0,2;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
111;4/28/2020 5:00:00 PM;1;2;8;10;80;5;1,1;0,2;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
111;4/28/2020 5:00:00 PM;4;2;Sin medicion;10;Sin medicion;5;1;0,2;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
111;4/28/2020 7:09:50 PM;1;2;6;10,2;78;4,6;1,3;0,21;2,9;2,9;Sin medicion;30;30;Sin medicion
111;4/28/2020 7:09:50 PM;4;2,3;Sin medicion;10,9;Sin medicion;5;0,95;0,25;Sin medicion;Sin medicion;0,31;Sin medicion;Sin medicion;31
111;4/29/2020 7:00:00 AM;1;1;8;10;80;5;1,1;0,2;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
111;4/29/2020 7:00:00 AM;4;2;Sin medicion;10;Sin medicion;5;1;0,21;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
112;4/29/2020 4:00:00 PM;1;2;8;10;80;5;1,1;0,2;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
112;4/29/2020 4:00:00 PM;4;2,1;Sin medicion;10;Sin medicion;5;1;0,2;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
112;4/29/2020 6:30:00 PM;1;2;7;10,2;77;5;10,6;2,3;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
112;4/29/2020 6:30:00 PM;4;2,2;Sin medicion;10,2;Sin medicion;5,3;0,96;2,1;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
112;4/30/2020 1:00:00 AM;1;2;5;10;75;5;10,4;2,2;2,8;2,7;Sin medicion;Sin medicion;Sin medicion;Sin medicion
112;4/30/2020 1:00:00 AM;4;2,1;Sin medicion;10;Sin medicion;5,2;0,94;2,1;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
112;4/30/2020 9:00:00 AM;1;2;8;10;80;5;1,1;0,21;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
112;4/30/2020 9:00:00 AM;4;2;Sin medicion;10;Sin medicion;5;0,98;0,2;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
113;4/30/2020 6:30:00 PM;1;2;7;10,4;77;5,1;10,8;2,2;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
113;4/30/2020 6:30:00 PM;4;2;Sin medicion;10,2;Sin medicion;5,2;0,97;2;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
113;5/1/2020 7:30:00 AM;1;2;8;10;80;4,8;1,08;0,22;2,9;2,9;Sin medicion;Sin medicion;Sin medicion;Sin medicion
113;5/1/2020 7:30:00 AM;4;2;Sin medicion;10,3;Sin medicion;5;1;0,2;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
114;5/2/2020 12:00:00 AM;1;2;10;10;80;5,1;1,1;2;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
114;5/2/2020 12:00:00 AM;4;2,5;Sin medicion;10;Sin medicion;5,2;0,96;0,4;Sin medicion;Sin medicion;0,4;Sin medicion;Sin medicion;Sin medicion
114;5/2/2020 7:44:09 AM;1;1,9;7;10;78;4,6;1,3;0,23;2,9;2,9;Sin medicion;30;30;Sin medicion
114;5/2/2020 7:44:09 AM;4;2,6;Sin medicion;11;Sin medicion;5,6;0,96;0,39;Sin medicion;Sin medicion;0,32;Sin medicion;Sin medicion;31
115;5/3/2020 6:56:39 AM;1;1,9;7;10,2;78;4,6;1,2;0,22;2,9;2,9;Sin medicion;30;30;Sin medicion
115;5/3/2020 6:56:39 AM;4;2,2;Sin medicion;10,2;Sin medicion;5;0,95;0,32;Sin medicion;Sin medicion;0,31;Sin medicion;Sin medicion;31
116;5/4/2020 7:46:15 AM;1;1,9;7;10,2;78;4,6;1,3;0,23;2,9;2,9;Sin medicion;30;30;Sin medicion
116;5/4/2020 7:46:15 AM;4;2;Sin medicion;10;Sin medicion;5;0,95;0,35;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;31
117;5/5/2020 7:00:00 AM;1;2;6;10,2;76;5;10,6;2,2;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
117;5/5/2020 7:00:00 AM;4;2,8;Sin medicion;10,8;Sin medicion;5,7;1,02;2,8;Sin medicion;Sin medicion;3,2;Sin medicion;Sin medicion;Sin medicion
117;5/5/2020 11:00:00 AM;1;2;8;10,4;78;5;10,8;2,2;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
117;5/5/2020 11:00:00 AM;4;2,8;Sin medicion;11;Sin medicion;5,7;10,4;2,8;Sin medicion;Sin medicion;3,2;Sin medicion;Sin medicion;Sin medicion
118;5/5/2020 11:09:48 PM;1;2;5;10;76;4,6;1,2;0,21;2,9;2,9;Sin medicion;30;30;Sin medicion
118;5/5/2020 11:09:48 PM;4;2,7;Sin medicion;10,6;Sin medicion;5,6;1;0,27;Sin medicion;Sin medicion;0,31;Sin medicion;Sin medicion;31
118;5/6/2020 7:00:00 AM;1;2;8;10;80;5;1,1;0,21;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
118;5/6/2020 7:00:00 AM;4;2,5;Sin medicion;11;Sin medicion;5;1;0,25;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
119;5/6/2020 7:02:48 PM;1;1,9;7;10;78;4,6;1,2;0,21;2,9;2,9;Sin medicion;30;30;Sin medicion
119;5/6/2020 7:02:48 PM;4;2,5;Sin medicion;10,6;Sin medicion;5,3;1;0,29;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;31
119;5/7/2020 6:30:00 AM;1;2;8;10;80;5;1,1;0,2;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
119;5/7/2020 6:30:00 AM;4;2,5;Sin medicion;10;Sin medicion;5,3;1;0,23;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
120;5/7/2020 6:30:00 PM;1;2;7;10,4;77;5;10,8;2,3;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
120;5/7/2020 6:30:00 PM;4;2,7;Sin medicion;10,7;Sin medicion;5,6;1;2,6;Sin medicion;Sin medicion;3,2;Sin medicion;Sin medicion;Sin medicion
120;5/8/2020 2:00:00 AM;1;2;5;10,2;75;5;10,6;2,3;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
120;5/8/2020 2:00:00 AM;4;2,6;Sin medicion;10,5;Sin medicion;5,6;0,98;2,7;Sin medicion;Sin medicion;3,2;Sin medicion;Sin medicion;Sin medicion
120;5/8/2020 6:30:00 AM;1;2;8;10;80;5,2;1,1;0,21;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
120;5/8/2020 6:30:00 AM;4;2,4;Sin medicion;10;Sin medicion;5;1;0,25;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
121;5/8/2020 9:45:00 PM;1;2;6;10,2;76;5;10,6;2,3;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
121;5/8/2020 9:45:00 PM;4;2,6;Sin medicion;10,5;Sin medicion;5,6;0,98;2,7;Sin medicion;Sin medicion;3,2;Sin medicion;Sin medicion;Sin medicion
121;5/9/2020 3:00:00 AM;1;2;5;10;75;5;10,4;2,3;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
121;5/9/2020 3:00:00 AM;4;2,6;Sin medicion;10,3;Sin medicion;5,6;0,96;2,7;Sin medicion;Sin medicion;3,2;Sin medicion;Sin medicion;Sin medicion
122;5/9/2020 8:00:00 PM;1;2;8;10;80;5,2;1,1;0,2;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
122;5/9/2020 8:00:00 PM;4;2,3;Sin medicion;11;Sin medicion;5;1;0,25;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
122;5/10/2020 3:00:00 AM;1;2;8;10;80;5,1;1,1;0,21;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
122;5/10/2020 3:00:00 AM;4;2,5;Sin medicion;11;Sin medicion;5;1;0,25;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
122;5/10/2020 6:47:35 AM;1;2;7;10;78;4,6;1,3;0,22;2,9;2,9;Sin medicion;30;30;Sin medicion
122;5/10/2020 6:47:35 AM;4;2,3;Sin medicion;10,9;Sin medicion;5;0,99;0,26;Sin medicion;Sin medicion;0,31;Sin medicion;Sin medicion;31
123;5/10/2020 9:00:00 PM;1;2;8;10;80;5;1,1;0,2;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
123;5/10/2020 9:00:00 PM;4;2,1;Sin medicion;10;Sin medicion;5;0,98;0,22;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
123;5/11/2020 4:00:00 AM;1;2;7;10;78;5,2;1,1;0,2;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
123;5/11/2020 4:00:00 AM;4;2,5;Sin medicion;11;Sin medicion;5,1;0,98;0,2;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
123;5/11/2020 6:09:32 AM;1;2;5;10;74;4,6;1,6;0,23;2,9;2,9;Sin medicion;30;30;Sin medicion
123;5/11/2020 6:09:32 AM;4;2,6;Sin medicion;11;Sin medicion;5,3;0,9;0,28;Sin medicion;Sin medicion;0,31;Sin medicion;Sin medicion;31
124;5/12/2020 6:36:37 AM;1;2;5;10;74;4,6;1,5;0,21;2,9;2,9;Sin medicion;30;30;Sin medicion
124;5/12/2020 6:36:37 AM;4;2,3;Sin medicion;10;Sin medicion;5;0,95;0,26;Sin medicion;Sin medicion;0,31;Sin medicion;Sin medicion;31
125;5/13/2020 6:30:00 AM;1;1,8;4;9,8;74;4,8;10,2;2;3;2,7;Sin medicion;Sin medicion;Sin medicion;Sin medicion
125;5/13/2020 6:30:00 AM;4;2,4;Sin medicion;10,2;Sin medicion;5,4;0,96;2,4;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
125;5/13/2020 1:00:00 PM;1;1,8;7;10,6;77;4,8;11;2,1;2,9;2,7;Sin medicion;Sin medicion;Sin medicion;Sin medicion
125;5/13/2020 1:00:00 PM;4;2,4;Sin medicion;10,5;Sin medicion;5,4;1;2,4;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
126;5/13/2020 11:05:40 PM;1;2,1;6;10,2;74;4,6;11;0,22;0,3;0,3;Sin medicion;30;30;Sin medicion
126;5/13/2020 11:05:40 PM;4;2,3;Sin medicion;10,5;Sin medicion;5;0,98;2,5;Sin medicion;Sin medicion;0,32;Sin medicion;Sin medicion;31
126;5/14/2020 7:00:00 AM;1;2;8;10;78;5;1,1;0,2;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
126;5/14/2020 7:00:00 AM;4;2;Sin medicion;10;Sin medicion;5,1;1;0,25;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
127;5/15/2020 4:00:00 AM;1;2;5;10,2;74;4,6;1,6;0,22;0,3;0,3;Sin medicion;31;30;Sin medicion
127;5/15/2020 4:00:00 AM;4;2,6;Sin medicion;11;Sin medicion;5,2;0,99;0,26;Sin medicion;Sin medicion;0,32;Sin medicion;Sin medicion;31
127;5/15/2020 7:00:00 AM;1;2;8;10;79;5,1;1,1;0,21;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
127;5/15/2020 7:00:00 AM;4;2,1;Sin medicion;10;Sin medicion;5,3;1;0,25;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
128;5/15/2020 10:00:00 PM;1;2,2;6;10,4;76;5,2;10,8;2,3;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
128;5/15/2020 10:00:00 PM;4;2,4;Sin medicion;10,3;Sin medicion;5,4;0,97;2,4;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
128;5/16/2020 3:00:00 AM;1;2,1;5;10,4;75;5,1;10,8;2,3;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
128;5/16/2020 3:00:00 AM;4;2,3;Sin medicion;10,1;Sin medicion;5,3;0,95;2,3;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
128;5/16/2020 8:00:00 AM;1;2;8;10;80;5;1,1;0,2;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
128;5/16/2020 8:00:00 AM;4;2,1;Sin medicion;10,2;Sin medicion;5;1;0,25;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
129;5/16/2020 10:30:00 PM;1;2,2;6;10,6;76;5,2;11;2,3;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
129;5/16/2020 10:30:00 PM;4;2,3;Sin medicion;10,4;Sin medicion;5,3;0,98;2,4;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
129;5/17/2020 3:00:00 AM;1;2,1;5;10,4;75;5,1;10,8;2,3;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
129;5/17/2020 3:00:00 AM;4;2,3;Sin medicion;10,1;Sin medicion;5,3;0,95;2,3;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
130;5/22/2020 2:13:06 AM;1;1,8;8;9;80;4,6;0,95;0,2;2,9;2,9;Sin medicion;30;30;Sin medicion
130;5/22/2020 2:13:06 AM;4;2,5;Sin medicion;10;Sin medicion;5,6;0,9;0,3;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;30
131;5/22/2020 1:00:00 PM;1;1,8;10;10;80;5;1;0,2;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
131;5/22/2020 1:00:00 PM;4;2,7;Sin medicion;11;Sin medicion;5;1;0,5;Sin medicion;Sin medicion;0,35;Sin medicion;Sin medicion;Sin medicion
131;5/22/2020 9:46:57 PM;1;1,9;7;10;78;4,6;1,1;0,21;2,9;2,9;Sin medicion;30;30;Sin medicion
131;5/22/2020 9:46:57 PM;4;2,5;Sin medicion;11;Sin medicion;5;0,95;0,5;Sin medicion;Sin medicion;0,32;Sin medicion;Sin medicion;31
132;5/23/2020 4:00:00 PM;1;2;10;10;80;5;1;0,2;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
132;5/23/2020 4:00:00 PM;4;3;Sin medicion;10;Sin medicion;5;0,95;0,23;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
132;5/23/2020 6:30:00 PM;1;2;7;10,4;77;5;10,8;2,2;2,9;2,7;Sin medicion;Sin medicion;Sin medicion;Sin medicion
132;5/23/2020 6:30:00 PM;4;2,5;Sin medicion;10,7;Sin medicion;5,4;1;2,5;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
132;5/24/2020 1:00:00 AM;1;2;5;10,2;75;5;10,6;2,1;2,9;2,7;Sin medicion;Sin medicion;Sin medicion;Sin medicion
132;5/24/2020 1:00:00 AM;4;2,4;Sin medicion;10,4;Sin medicion;5,4;0,98;2,4;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
133;5/24/2020 6:30:00 PM;1;2;5;9,8;75;5;10,2;2;2,8;2,7;Sin medicion;Sin medicion;Sin medicion;Sin medicion
133;5/24/2020 6:30:00 PM;4;2,4;Sin medicion;10,5;Sin medicion;5,4;0,98;2,4;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
133;5/25/2020 1:00:00 AM;1;2;4;9,6;74;5;10;2;2,9;2,7;Sin medicion;Sin medicion;Sin medicion;Sin medicion
133;5/25/2020 1:00:00 AM;4;2,4;Sin medicion;10,3;Sin medicion;5,4;0,96;2,4;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
134;5/25/2020 7:00:00 PM;1;1,8;9;10;80;5,1;1,02;2;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
134;5/25/2020 7:00:00 PM;4;2,8;Sin medicion;1,5;Sin medicion;5,2;1;0,25;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
135;5/26/2020 8:00:00 PM;1;2,1;8;10;80;5;1,05;0,2;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
135;5/26/2020 8:00:00 PM;4;2,5;Sin medicion;10,5;Sin medicion;5;0,98;0,23;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
135;5/27/2020 4:00:00 AM;1;1,8;9;9,5;80;5;1;0,2;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
135;5/27/2020 4:00:00 AM;4;2,1;Sin medicion;10;Sin medicion;5;0,98;0,23;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
135;5/27/2020 8:03:36 AM;1;1,8;7;10,2;75;4,9;1;0,21;2,9;2,9;Sin medicion;30;30;Sin medicion
135;5/27/2020 8:03:36 AM;4;2,3;Sin medicion;11;Sin medicion;5;0,95;Sin medicion;Sin medicion;Sin medicion;0,32;Sin medicion;Sin medicion;31
137;5/29/2020 6:15:00 AM;1;1,8;4;9,2;74;4,7;9,6;2;2,8;2,7;Sin medicion;Sin medicion;Sin medicion;Sin medicion
137;5/29/2020 6:15:00 AM;4;2,3;Sin medicion;10;Sin medicion;5,2;0,94;2,2;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
137;5/29/2020 1:00:00 PM;1;2;6;9,8;76;5;10,2;2;2,8;2,7;Sin medicion;Sin medicion;Sin medicion;Sin medicion
137;5/29/2020 1:00:00 PM;4;2,3;Sin medicion;10,5;Sin medicion;5,3;0,98;2,3;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
138;5/30/2020 6:30:00 AM;1;1,8;5;9,2;76;4,8;9,6;2;2,8;2,7;Sin medicion;Sin medicion;Sin medicion;Sin medicion
138;5/30/2020 6:30:00 AM;4;2,3;Sin medicion;10;Sin medicion;5,3;0,94;2,2;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
138;5/30/2020 3:00:00 PM;1;2;6;9,6;77;4,9;10;2,1;2,8;2,7;Sin medicion;Sin medicion;Sin medicion;Sin medicion
138;5/30/2020 3:00:00 PM;4;2,3;Sin medicion;10,4;Sin medicion;5,3;0,98;2,2;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
139;5/31/2020 8:00:00 AM;1;1,8;8;9;79;5;0,1;0,21;2,9;2,9;Sin medicion;Sin medicion;Sin medicion;Sin medicion
139;5/31/2020 8:00:00 AM;4;2;Sin medicion;10,1;Sin medicion;5;0,22;0,95;Sin medicion;Sin medicion;2,9;Sin medicion;Sin medicion;Sin medicion
139;5/31/2020 3:00:00 PM;1;1,8;9;9,5;78;5,2;0,1;0,21;2,8;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
139;5/31/2020 3:00:00 PM;4;1,9;Sin medicion;9;Sin medicion;5;0,96;0,2;Sin medicion;Sin medicion;0,29;Sin medicion;Sin medicion;Sin medicion
140;6/1/2020 2:12:43 AM;1;1,9;6;10;74;5;1,3;0,23;0,29;0,3;Sin medicion;30;30;Sin medicion
140;6/1/2020 2:12:43 AM;4;2,3;Sin medicion;11;Sin medicion;5;0,98;0,26;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;31
140;6/1/2020 6:30:00 PM;1;2;8;9,6;78;4,8;10;2,1;2,8;2,7;Sin medicion;Sin medicion;Sin medicion;Sin medicion
140;6/1/2020 6:30:00 PM;4;2,3;Sin medicion;10,4;Sin medicion;5,3;0,98;2,2;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
140;6/8/2020 8:30:00 AM;1;1,8;8;9,8;78;5;0,11;2;2,8;2,9;Sin medicion;Sin medicion;Sin medicion;Sin medicion
140;6/8/2020 8:30:00 AM;4;2;Sin medicion;10;Sin medicion;5,1;0,98;0,2;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
141;6/2/2020 5:00:00 AM;1;1,8;6;9,4;76;4,7;9,8;2;2,8;2,7;Sin medicion;Sin medicion;Sin medicion;Sin medicion
141;6/2/2020 5:00:00 AM;4;2,1;Sin medicion;10;Sin medicion;5,1;0,93;2,1;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
141;6/2/2020 8:30:00 AM;2;1,8;8;9,5;Sin medicion;5,3;0,96;0,2;2,9;2,9;Sin medicion;Sin medicion;Sin medicion;Sin medicion
141;6/2/2020 8:30:00 AM;4;2;Sin medicion;10;Sin medicion;5;0,95;0,18;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
141;6/2/2020 3:40:00 PM;2;1,8;8;9;Sin medicion;5;0,11;0,2;2,9;2,9;Sin medicion;Sin medicion;Sin medicion;Sin medicion
141;6/2/2020 3:40:00 PM;4;1,9;Sin medicion;9;Sin medicion;5;0,95;0,2;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
141;6/2/2020 6:30:00 PM;2;1,8;8;10,4;Sin medicion;5,2;10;2,1;2,8;2,7;Sin medicion;Sin medicion;Sin medicion;Sin medicion
141;6/2/2020 6:30:00 PM;4;2;Sin medicion;10,5;Sin medicion;5,1;0,98;2;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
142;6/3/2020 8:00:00 PM;1;1,8;8;9;78;5;0,11;0,2;2,9;2,9;Sin medicion;Sin medicion;Sin medicion;Sin medicion
142;6/3/2020 8:00:00 PM;4;2,3;Sin medicion;10;Sin medicion;5;1;0,2;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
142;6/4/2020 7:45:46 AM;1;1,8;6;10;74;5;1,4;0,23;0,3;0,3;Sin medicion;20;30;Sin medicion
142;6/4/2020 7:45:46 AM;4;2,3;Sin medicion;11;Sin medicion;5;0,99;0,29;Sin medicion;Sin medicion;0,31;Sin medicion;Sin medicion;31
143;6/4/2020 3:46:01 PM;1;1,8;7;10,6;78;4,6;1,5;0,25;0,3;0,3;Sin medicion;30;30;Sin medicion
143;6/4/2020 3:46:01 PM;4;2,5;Sin medicion;11;Sin medicion;5;0,98;0,29;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;31
144;6/6/2020 6:45:00 AM;1;1,8;4;9,4;75;4,8;9,8;2;2,8;2,7;Sin medicion;Sin medicion;Sin medicion;Sin medicion
144;6/6/2020 6:45:00 AM;4;2,4;Sin medicion;10;Sin medicion;5,4;0,93;2,4;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
144;6/6/2020 1:00:00 PM;1;1,8;7;10;78;5;10,4;2;2,8;2,7;Sin medicion;Sin medicion;Sin medicion;Sin medicion
144;6/6/2020 1:00:00 PM;4;2,4;Sin medicion;10,4;Sin medicion;5,4;0,98;2,4;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
145;6/6/2020 8:06:07 PM;1;2;6;10;76;5;1,3;0,2;0,28;0,28;Sin medicion;30;30;Sin medicion
145;6/6/2020 8:06:07 PM;4;2,3;Sin medicion;11;Sin medicion;5;0,99;0,29;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;31
